Комната,Серия,Тип товара,Цена (руб),Количество,Цвет,Ссылка
Гостиная,LANDSKRONA ЛАНДСКРУНА,Диван,35999,1,Зеленый,https://www.ikea.com/ru/ru/p/landskrona-landskruna-2-mestnyy-divan-gunnared-svetlo-zelenyy-metall-s59270288/ 
Гостиная,STOCKHOLM СТОКГОЛЬМ,Журнальный стол,16999,1,Коричневый,https://www.ikea.com/ru/ru/p/stockholm-stokgolm-zhurnalnyy-stol-shpon-greckogo-oreha-30384172/ 
Гостиная,IVAR ИВАР,Стеллаж,5349,1,Бежевый,https://www.ikea.com/ru/ru/p/ivar-ivar-stellazh-sosna-s29251347/ 
Гостиная,EKET ЭКЕТ,Шкаф,7100,1,Бежевый,https://www.ikea.com/ru/ru/p/eket-eket-kombinaciya-shkafov-s-nozhkami-pod-belenyy-dub-s49286440/ 
Гостиная,HEMNES ХЕМНЭС,Письменный стол,10999,1,Бежевый,https://www.ikea.com/ru/ru/p/hemnes-hemnes-stol-s-2-yashchikami-svetlo-korichnevyy-10363222/ 
Гостиная,FJÄLLBERGET ФЬЕЛЛБЕРГЕТ,Стул офисный,15999,1,Белый,https://www.ikea.com/ru/ru/p/fjaellberget-fellberget-konferenc-stul-na-kolesikah-dubovyy-shpon-belenyy-gunnared-bezhevyy-70487762/ 
Гостиная,HEMNES ХЕМНЭС,Тумба,12999,1,Белый,https://www.ikea.com/ru/ru/p/hemnes-hemnes-tumba-pod-tv-belaya-morilka-svetlo-korichnevyy-90413529/ 
Спальня,HEMNES ХЕМНЭС,Кровать,15799,1,Белый,https://www.ikea.com/ru/ru/p/hemnes-hemnes-karkas-krovati-belaya-morilka-luroy-s49210817/ 
Спальня,HEMNES ХЕМНЭС,Гардероб,24999,1,Белый,https://www.ikea.com/ru/ru/p/hemnes-hemnes-garderob-s-2-razdvizhnymi-dvercami-belaya-morilka-60369783/ 
Спальня,HEMNES ХЕМНЭС,Тумба,3999,1,Белый,https://www.ikea.com/ru/ru/p/hemnes-hemnes-tumba-prikrovatnaya-belaya-morilka-10368677/ 
Спальня,HEMNES ХЕМНЭС,Туалетный столик,12999,1,Белый,https://www.ikea.com/ru/ru/p/hemnes-hemnes-tualetnyy-stolik-s-zrkl-belyy-00368866/
Спальня,INGOLF ИНГОЛЬФ,Стул,4299,2,Белый,https://www.ikea.com/ru/ru/p/ingolf-ingolf-stul-belyy-hallarp-bezhevyy-70473067/
